Profiling Single Operation VOLE...
Average time for Single Operation VOLE: 0.050755 seconds
         916421 function calls in 0.510 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.000    0.000    0.593    0.059 VOLE_Paillier.py:5(compute_vole_HE)
      122    0.000    0.000    0.000    0.000 __init__.py:48(create_string_buffer)
      122    0.000    0.000    0.003    0.000 __init__.py:54(_create_cipher)
       61    0.000    0.000    0.000    0.000 _mode_cbc.py:125(encrypt)
       61    0.000    0.000    0.000    0.000 _mode_cbc.py:191(decrypt)
      122    0.000    0.000    0.003    0.000 _mode_cbc.py:255(_create_cbc_cipher)
      122    0.001    0.000    0.001    0.000 _mode_cbc.py:78(__init__)
      122    0.000    0.000    0.000    0.000 _raw_api.py:195(get_raw_buffer)
      488    0.001    0.000    0.001    0.000 _raw_api.py:229(c_uint8_ptr)
      244    0.000    0.000    0.000    0.000 _raw_api.py:249(__init__)
      244    0.000    0.000    0.000    0.000 _raw_api.py:252(get)
      244    0.000    0.000    0.000    0.000 _raw_api.py:255(address_of)
      244    0.000    0.000    0.000    0.000 _raw_api.py:258(VoidPointer)
      244    0.000    0.000    0.000    0.000 _raw_api.py:267(__init__)
      244    0.000    0.000    0.000    0.000 _raw_api.py:271(get)
      122    0.000    0.000    0.000    0.000 _raw_api.py:274(release)
      244    0.000    0.000    0.000    0.000 _raw_api.py:278(__del__)
       30    0.000    0.000    0.000    0.000 classes.py:135(__init__)
       30    0.000    0.000    0.000    0.000 classes.py:157(__init__)
       61    0.000    0.000    0.000    0.000 classes.py:33(__init__)
       61    0.000    0.000    0.000    0.000 classes.py:87(__init__)
       20    0.000    0.000    0.000    0.000 helpers.py:11(reverse_binary_list)
       10    0.000    0.000    0.000    0.000 helpers.py:149(int_to_bits)
       10    0.000    0.000    0.000    0.000 helpers.py:168(<listcomp>)
       61    0.000    0.000    0.000    0.000 helpers.py:173(generate_random_a_b)
       61    0.000    0.000    0.000    0.000 helpers.py:191(calculate_public_keys)
       61    0.000    0.000    0.001    0.000 helpers.py:221(derive_shared_keys)
       61    0.000    0.000    0.005    0.000 helpers.py:248(process_encryption_decryption)
       10    0.001    0.000    0.016    0.002 helpers.py:338(mock_decomposition)
     1317    0.002    0.000    0.012    0.000 helpers.py:362(<listcomp>)
     1317    0.002    0.000    0.002    0.000 helpers.py:364(<listcomp>)
       10    0.000    0.000    0.000    0.000 helpers.py:374(VOLE_Reconstruction)
      132    0.009    0.000    0.012    0.000 helpers.py:47(find_multiplicative_generator)
      132    0.000    0.000    0.002    0.000 helpers.py:85(generate_prime_with_digits)
      418    0.000    0.000    0.000    0.000 misc.py:491(as_int)
       10    0.000    0.000    0.000    0.000 paillier.py:22(modpow)
       10    0.000    0.000    0.001    0.000 paillier.py:37(__init__)
       10    0.001    0.000    0.001    0.000 paillier.py:4(invmod)
       10    0.000    0.000    0.000    0.000 paillier.py:50(__init__)
       10    0.000    0.000    0.083    0.008 paillier.py:58(generate_keypair)
       20    0.000    0.000    0.510    0.025 paillier.py:64(encrypt)
       10    0.000    0.000    0.000    0.000 paillier.py:73(e_add)
       10    0.000    0.000    0.000    0.000 paillier.py:81(e_mul_const)
       10    0.000    0.000    0.001    0.000 paillier.py:85(decrypt)
     9301    0.069    0.000    0.568    0.000 primes.py:23(rabin_miller_witness)
       45    0.000    0.000    0.000    0.000 primes.py:31(default_k)
     1722    0.007    0.000    0.586    0.000 primes.py:34(is_probably_prime)
  1020216    0.499    0.000    0.499    0.000 primes.py:4(ipow)
       45    0.002    0.000    0.590    0.013 primes.py:50(generate_prime)
      418    0.000    0.000    0.001    0.000 primetest.py:499(isprime)
      122    0.000    0.000    0.000    0.000 py3compat.py:115(bchr)
       61    0.000    0.000    0.000    0.000 py3compat.py:122(bord)
      488    0.000    0.000    0.000    0.000 py3compat.py:137(byte_string)
      122    0.000    0.000    0.000    0.000 py3compat.py:162(_copy_bytes)
    19701    0.009    0.000    0.012    0.000 random.py:238(_randbelow_with_getrandbits)
    19701    0.010    0.000    0.022    0.000 random.py:291(randrange)
     8678    0.002    0.000    0.011    0.000 random.py:335(randint)
      488    0.000    0.000    0.000    0.000 {built-in method _ctypes.byref}
      183    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha256}
      418    0.000    0.000    0.000    0.000 {built-in method _operator.index}
       10    0.000    0.000    0.000    0.000 {built-in method builtins.bin}
     1760    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
     1006    0.000    0.000    0.000    0.000 {built-in method builtins.len}
